Keyword: conversion
Occurrences: 11
================================================================================

[multimode-trans] Page    6: the transition strategy is the key to achieving modal conversion during the transition
[multimode-trans] Page   18: 17.   Huangzhong, P.; Ziyang, Z.; Chen, G. Tiltrotor Aircraft Attitude Control in Conversion Mode Based on Optimal Preview
[multimode-trans] Page   19: 24.   Jie, S.; Jun, Y.; Xiaoping, Z. Robust Flight Control Law Development for Tiltrotor Conversion. In Proceedings of the 2009
[multimode-trans] Page   19: 26.   Choi, S.; Kang, Y.; Chang, S.; Koo, S.; Kim, J.M. Development and Conversion Flight Test of a Small Tiltrotor Unmanned Aerial
[multimode-trans] Page   19: 27.   Cao, Y.; Chen, R. Investigation on Nacelle Conversion Envelope Analysis Method of Tiltrotor Aircraft. J. Aerosp. Power 2011,
[hybrid-review  ] Page   42: [123] S. Chang, A. Cho, S. Choi, Y. Kang, Y. Kim, M. Kim, Flight testing full conversion of a 40-kg-class tilt-duct unmanned aerial
[hybrid-review  ] Page   45: conversion for a tilt-wing rotorcraft, in: Proceedings of the 44th IEEE Conference on Decision and Control, 2005, pp.
[hybrid-review  ] Page   45: [174] J. J. Dickeson, O. Cifdaloz, D. W. Miles, P. M. Koziol, V. L. Wells, A. A. Rodriguez, Robust H∞ gain-scheduled conversion
[hybrid-review  ] Page   45: [175] J. Dickeson, D. Miles, O. Cifdaloz, V. Wells, A. Rodriguez, Robust LPV H∞ gain-scheduled hover-to-cruise conversion for a
[hybrid-review  ] Page   47: [217] P. Huangzhong, Z. Ziyang, G. Chen, Tiltrotor aircraft attitude control in conversion mode based on optimal preview control,
[hybrid-review  ] Page   47: [218] J. Sun, J. Yang, X. Zhu, Robust flight control law development for tiltrotor conversion, in: 2009 International Conference on
