# AT32F435/437 — Function to Pin Mapping (IOMUX)
# Sources: Datasheet Table 8 + INAV timer_def_at32f43x.h
# MUX number = GPIO_MUX_n value for gpio_pin_mux_config()

Function                                 Pins
------------------------------------------------------------------------------------------
CAN1_RX                                  PA11(MUX9), PB8(MUX9), PD0(MUX9), PG0(MUX9)
CAN1_TX                                  PA12(MUX9), PB9(MUX9), PD1(MUX9), PG1(MUX9)
CAN2_RX                                  PB5(MUX9), PB12(MUX9), PG11(MUX9)
CAN2_TX                                  PB6(MUX9), PB13(MUX9), PG12(MUX9)
CLKOUT1                                  PA8(MUX0), PE4(MUX0)
CLKOUT2                                  PC9(MUX0)
DVP_D0                                   PA9(MUX13), PC6(MUX13)
DVP_D1                                   PA10(MUX13), PC7(MUX13)
DVP_D10                                  PB5(MUX13), PD6(MUX13)
DVP_D11                                  PD2(MUX13), PF10(MUX13)
DVP_D12                                  PF11(MUX13), PG6(MUX13)
DVP_D13                                  PG7(MUX13), PG15(MUX13)
DVP_D2                                   PA11(MUX13), PC8(MUX13), PE0(MUX13), PG10(MUX13)
DVP_D3                                   PA12(MUX13), PC9(MUX13), PE1(MUX13), PG11(MUX13)
DVP_D4                                   PB3(MUX13), PC11(MUX13), PE4(MUX13)
DVP_D5                                   PB4(MUX13), PB6(MUX13), PD3(MUX13)
DVP_D6                                   PB8(MUX13), PE5(MUX13)
DVP_D7                                   PB9(MUX13), PE6(MUX13)
DVP_D8                                   PC10(MUX13)
DVP_D9                                   PC12(MUX13), PE3(MUX13)
DVP_HSYNC                                PA4(MUX13)
DVP_PCLK                                 PA6(MUX13)
DVP_VSYNC                                PB7(MUX13), PG9(MUX13)
EMAC_MDC                                 PC1(MUX11)
EMAC_MDIO                                PA2(MUX11)
EMAC_MII_COL                             PA3(MUX11)
EMAC_MII_CRS                             PA0(MUX11)
EMAC_MII_RXD0                            PC4(MUX11), PD9(MUX11)
EMAC_MII_RXD1                            PC5(MUX11), PD10(MUX11)
EMAC_MII_RXD2                            PB0(MUX11), PD11(MUX11)
EMAC_MII_RXD3                            PB1(MUX11), PD12(MUX11)
EMAC_MII_RX_CLK                          PA1(MUX11)
EMAC_MII_RX_DV                           PA7(MUX11), PD8(MUX11)
EMAC_MII_RX_ER                           PB10(MUX11)
EMAC_MII_TXD0                            PB12(MUX11), PG13(MUX11)
EMAC_MII_TXD1                            PB13(MUX11), PG14(MUX11)
EMAC_MII_TXD2                            PC2(MUX11)
EMAC_MII_TXD3                            PB8(MUX11), PE2(MUX11)
EMAC_MII_TX_CLK                          PC3(MUX11)
EMAC_MII_TX_EN                           PB11(MUX11), PG11(MUX11)
EMAC_PPS_OUT                             PB5(MUX11), PG8(MUX11)
EMAC_RMII_CRS_DV                         PA7(MUX11), PD8(MUX11)
EMAC_RMII_REF_CLK                        PA1(MUX11)
EMAC_RMII_RXD0                           PC4(MUX11)
EMAC_RMII_RXD1                           PC5(MUX11), PD10(MUX11)
EMAC_RMII_TXD0                           PB12(MUX11), PG13(MUX11)
EMAC_RMII_TXD1                           PB13(MUX11), PG14(MUX11)
EMAC_RMII_TX_EN                          PB11(MUX11), PG11(MUX11)
I2C1_SCL                                 PA9(MUX4), PB6(MUX4), PB8(MUX4), PC6(MUX4), PH1(MUX4)
I2C1_SDA                                 PA10(MUX4), PB7(MUX4), PB9(MUX4), PC7(MUX4), PH0(MUX4)
I2C1_SMBA                                PB5(MUX4), PC5(MUX4)
I2C2_SCL                                 PA0(MUX4), PA11(MUX4), PB10(MUX4), PD12(MUX4), PF1(MUX4), PH2(MUX4)
I2C2_SDA                                 PA1(MUX4), PA12(MUX4), PB3(MUX4), PB9(MUX4), PB11(MUX4), PC12(MUX4), PD13(MUX4), PF0(MUX4), PH3(MUX4)
I2C2_SMBA                                PB12(MUX4), PD11(MUX4), PF2(MUX4)
I2C3_SCL                                 PA8(MUX4), PB13(MUX4), PB15(MUX4), PC0(MUX4), PD14(MUX4), PF14(MUX4)
I2C3_SDA                                 PB4(MUX4), PB14(MUX4), PC1(MUX4), PC9(MUX4), PD15(MUX4), PF15(MUX4)
I2C3_SMBA                                PA9(MUX4), PB2(MUX4), PB13(MUX4), PF13(MUX4)
I2S1_CK                                  PA5(MUX5), PB3(MUX5), PE13(MUX5)
I2S1_MCK                                 PB0(MUX5), PB6(MUX5), PC4(MUX5)
I2S1_SD                                  PA7(MUX5), PB5(MUX5), PE15(MUX5), PG1(MUX5)
I2S1_WS                                  PA4(MUX5), PA15(MUX5), PE12(MUX5)
I2S2_CK                                  PA9(MUX5), PB1(MUX5), PB10(MUX5), PB13(MUX5), PC7(MUX5), PD1(MUX5), PD3(MUX5)
I2S2_MCK                                 PA3(MUX5), PA6(MUX5), PC6(MUX5)
I2S2_SD                                  PA10(MUX5), PB15(MUX5), PC1(MUX5), PC3(MUX5), PD4(MUX5)
I2S2_SDEXT                               PB14(MUX5), PC2(MUX5)
I2S2_WS                                  PA11(MUX5), PB9(MUX5), PB12(MUX5), PD0(MUX5), PD1(MUX5)
I2S3_CK                                  PB3(MUX6), PB12(MUX6), PC10(MUX6)
I2S3_MCK                                 PB10(MUX6), PC7(MUX6)
