Pin	MUX0	MUX1	MUX2	MUX3	MUX4	MUX5	MUX6	MUX7	MUX8	MUX9	MUX10	MUX11	MUX12	MUX13	MUX14	MUX15
PA0	-	TMR2_CH1	TMR5_CH1	-	I2C2_SCL	-	-	USART2_CTS	UART4_TX	-	-	EMAC_MII_CRS	-	-	-	-
PA1	-	TMR2_CH2	TMR5_CH2	-	I2C2_SDA	-	I2S4_SD/SPI4_MOSI	USART2_RTS_DE	UART4_RX	-	-	EMAC_MII_RX_CLK/EMAC_RMII_REF_CLK	-	-	QSPI1_IO3	-
PA2	-	TMR2_CH3	TMR5_CH3	TMR9_CH1	-	-	-	USART2_TX	-	-	-	EMAC_MDIO	-	SDIO2_CK	-	-
PA3	-	TMR2_CH4	TMR5_CH4	TMR9_CH2	-	I2S2_MCK	-	USART2_RX	-	-	-	EMAC_MII_COL	-	SDIO2_CMD	QSPI2_IO3	-
PA4	-	-	-	-	-	I2S1_WS/SPI1_CS	I2S3_WS/SPI3_CS	USART2_CK	USART6_TX	-	OTGFS2_SOF	-	-	DVP_HSYNC/SDIO2_D0/SDIO2_D4	-	-
PA5	-	TMR2_CH1	-	TMR8_CH1C/TMR8_CH1N	-	I2S1_CK/SPI1_SCK	-	-	USART6_RX	-	-	-	-	SDIO2_D1/SDIO2_D5	QSPI2_IO2	-
PA6	-	-	TMR3_CH1	-	-	I2S2_MCK/SPI1_MISO	-	USART3_CTS	-	TMR13_CH1	-	-	SDIO1_CMD	DVP_PCLK/SDIO2_D2/SDIO2_D6	QSPI1_IO0	-
PA7	-	TMR1_CH1C/TMR1_CH1N	TMR3_CH2	TMR8_CH1C/TMR8_CH1N	-	I2S1_SD/SPI1_MOSI	-	-	-	TMR14_CH1	-	EMAC_MII_RX_DV/EMAC_RMII_CRS_DV	-	SDIO2_D3/SDIO2_D7	QSPI1_IO1	-
PA8	CLKOUT1	TMR1_CH1	-	-	I2C3_SCL	-	-	USART1_CK/USART2_TX	-	-	OTGFS1_SOF	-	SDIO1_D1	-	-	-
PA9	-	TMR1_CH2	-	-	I2C1_SCL/I2C3_SMBA	I2S2_CK/SPI2_SCK	-	USART1_TX	-	-	OTGFS1_VBUS	-	SDIO1_D2	DVP_D0	-	-
PA10	-	TMR1_CH3	-	-	I2C1_SDA	I2S2_SD/SPI2_MOSI	I2S4_MCK	USART1_RX	-	-	OTGFS1_ID	-	-	DVP_D1	-	-
PA11	-	TMR1_CH4	-	-	I2C2_SCL	I2S2_WS/SPI2_CS	SPI4_MISO	USART1_CTS	USART6_TX	CAN1_RX	OTGFS1_D	-	-	DVP_D2	-	-
PA12	-	-	-	-	I2C2_SDA	SPI2_MISO	-	USART1_RTS_DE	USART6_RX	CAN1_TX	OTGFS1_D	-	-	DVP_D3	-	-
PA13	IR_OUT/JTMS/SWDIO	-	-	-	-	-	SPI3_MISO	-	-	-	OTGFS1_OE	-	-	-	-	-
