# STM32F722/F723 — Alternate Function to Pin Mapping
# Source: Table 12, DS11853 pages 84-94

Function                            Pins
--------------------------------------------------------------------------------
CAN1_RX                             PA11(AF9), PB8(AF9), PD0(AF9), PH14(AF9), PI9(AF9)
CAN1_TX                             PA12(AF9), PB9(AF9), PD1(AF9), PH13(AF9)
EVENTOUT                            PA0(AF15), PA1(AF15), PA2(AF15), PA3(AF15), PA4(AF15), PA5(AF15), PA6(AF15), PA7(AF15), PA8(AF15), PA9(AF15), PA10(AF15), PA11(AF15), PA12(AF15), PA13(AF15), PA14(AF15), PA15(AF15), PB0(AF15), PB1(AF15), PB2(AF15), PB3(AF15), PB4(AF15), PB5(AF15), PB6(AF15), PB7(AF15), PB8(AF15), PB9(AF15), PB10(AF15), PB11(AF15), PB12(AF15), PB13(AF15), PB14(AF15), PB15(AF15), PC0(AF15), PC1(AF15), PC2(AF15), PC3(AF15), PC4(AF15), PC5(AF15), PC6(AF15), PC7(AF15), PC8(AF15), PC9(AF15), PC10(AF15), PC11(AF15), PC12(AF15), PC13(AF15), PC14(AF15), PC15(AF15), PD0(AF15), PD1(AF15), PD2(AF15), PD3(AF15), PD4(AF15), PD5(AF15), PD6(AF15), PD7(AF15), PD8(AF15), PD9(AF15), PD10(AF15), PD11(AF15), PD12(AF15), PD13(AF15), PD14(AF15), PD15(AF15), PE0(AF15), PE1(AF15), PE2(AF15), PE3(AF15), PE4(AF15), PE5(AF15), PE6(AF15), PE7(AF15), PE8(AF15), PE9(AF15), PE10(AF15), PE11(AF15), PE12(AF15), PE13(AF15), PE14(AF15), PE15(AF15), PF0(AF15), PF1(AF15), PF2(AF15), PF3(AF15), PF4(AF15), PF5(AF15), PF6(AF15), PF7(AF15), PF8(AF15), PF9(AF15), PF10(AF15), PF11(AF15), PF12(AF15), PF13(AF15), PF14(AF15), PF15(AF15), PG0(AF15), PG1(AF15), PG2(AF15), PG3(AF15), PG4(AF15), PG5(AF15), PG6(AF15), PG7(AF15), PG8(AF15), PG9(AF15), PG10(AF15), PG11(AF15), PG12(AF15), PG13(AF15), PG14(AF15), PG15(AF15), PH0(AF15), PH1(AF15), PH2(AF15), PH3(AF15), PH4(AF15), PH5(AF15), PH6(AF15), PH7(AF15), PH8(AF15), PH9(AF15), PH10(AF15), PH11(AF15), PH12(AF15), PH13(AF15), PH14(AF15), PH15(AF15), PI0(AF15), PI1(AF15), PI2(AF15), PI3(AF15), PI4(AF15), PI5(AF15), PI6(AF15), PI7(AF15), PI8(AF15), PI9(AF15), PI10(AF15), PI11(AF15), PI12(AF15), PI13(AF15), PI14(AF15), PI15(AF15)
FMC_A0                              PF0(AF12)
FMC_A1                              PF1(AF12)
FMC_A10                             PG0(AF12)
FMC_A11                             PG1(AF12)
FMC_A12                             PG2(AF12)
FMC_A13                             PG3(AF12)
