# STM32F765/F767/F768/F769 — Alternate Function to Pin Mapping
# Source: Table 13, DS11532 pages 89-106

Function                            Pins
--------------------------------------------------------------------------------
CAN1_RX                             PA11(AF9), PB8(AF9), PD0(AF9), PH14(AF9), PI9(AF9)
CAN1_TX                             PA12(AF9), PB9(AF9), PD1(AF9), PH13(AF9)
CAN2_RX                             PB5(AF9), PB12(AF9)
CAN2_TX                             PB6(AF9), PB13(AF9)
CAN3_RX                             PA8(AF11), PB3(AF11)
CAN3_TX                             PA15(AF11), PB4(AF11)
DCMI_D0                             PA9(AF13), PC6(AF13), PH9(AF13)
DCMI_D1                             PA10(AF13), PC7(AF13), PH10(AF13)
DCMI_D10                            PB5(AF13), PD6(AF13), PI3(AF13)
DCMI_D11                            PD2(AF13), PF10(AF13), PH15(AF13)
DCMI_D12                            PF11(AF13), PG6(AF13)
DCMI_D13                            PG7(AF13), PG15(AF13), PI0(AF13)
DCMI_D2                             PC8(AF13), PE0(AF13), PG10(AF13), PH11(AF13)
DCMI_D3                             PC9(AF13), PE1(AF13), PG11(AF13), PH12(AF13)
DCMI_D4                             PC11(AF13), PE4(AF13), PH14(AF13)
DCMI_D5                             PB6(AF13), PD3(AF13), PI4(AF13)
DCMI_D6                             PB8(AF13), PE5(AF13), PI6(AF13)
DCMI_D7                             PB9(AF13), PE6(AF13), PI7(AF13)
DCMI_D8                             PC10(AF13), PH6(AF13), PI1(AF13)
DCMI_D9                             PC12(AF13), PH7(AF13), PI2(AF13)
DCMI_H/SYNC                         PA4(AF13), PH8(AF13)
DCMI_PI/XCLK                        PA6(AF13)
DCMI_V/SYNC                         PB7(AF13), PG9(AF13), PI5(AF13)
DFSDM1_CKIN0                        PC0(AF3), PD4(AF6)
DFSDM1_CKIN1                        PB2(AF10), PB13(AF6), PC2(AF3), PD7(AF6)
DFSDM1_CKIN2                        PB15(AF6), PC4(AF3), PE8(AF6)
DFSDM1_CKIN3                        PC6(AF7), PD8(AF3), PE5(AF10)
DFSDM1_CKIN4                        PC1(AF10), PD6(AF3), PE11(AF6)
DFSDM1_CKIN5                        PB7(AF6), PC10(AF3), PE13(AF6)
DFSDM1_CKIN6                        PD0(AF3), PF14(AF6)
DFSDM1_CKIN7                        PB8(AF6), PB11(AF6), PD1(AF6)
